GEOID,population,housing_units,pct_poverty,pct_renters,pct_black
11001000101,"1,181",898,0.03,0.41,0.05
11001000102,"3,056","2,207",0.04,0.28,0
11001000201,"2,835",0,1,0,0.08
11001000202,"3,964","1,977",0.14,0.25,0.02
11001000300,"5,669","2,793",0.07,0.35,0.06
11001000400,"1,715",885,0.14,0.36,0.05
11001000501,"3,490","2,559",0.08,0.76,0.12
11001000502,"3,448","1,815",0.07,0.43,0.05
11001000600,"4,367","2,287",0.04,0.3,0.07
11001000702,"3,239","2,503",0.09,0.61,0.23
11001000703,"2,764","2,237",0.03,0.33,0.07
11001000704,"2,404","1,737",0.06,0.55,0.04
11001000802,"3,136","1,542",0.1,0.4,0.11
11001000803,"2,521","1,544",0.19,0.25,0.08
11001000804,"3,532","1,374",0.04,0.17,0.02
11001000902,"2,134",877,0.03,0.13,0.09
11001000903,"3,201",396,0.11,0.12,0.07
11001000904,"3,250","1,278",0.05,0.22,0.08
11001001002,"3,348","2,322",0.12,0.5,0.04
11001001003,"2,895","1,050",0.05,0.1,0.06
11001001004,"3,959","1,669",0.12,0.22,0.04
11001001100,"4,508","2,354",0.07,0.37,0.13
11001001200,"4,711","2,653",0.09,0.42,0.11
11001001301,"3,965","2,153",0.09,0.67,0.18
11001001303,"3,537","2,385",0.07,0.62,0.12
11001001304,"4,083","3,049",0.05,0.72,0.06
11001001401,"3,324","1,416",0.04,0.37,0.07
11001001402,"3,488","1,750",0.03,0.36,0.11
11001001500,"5,619","2,193",0.01,0.04,0.11
11001001600,"5,071","1,845",0.04,0.06,0.66
11001001702,"3,387","1,842",0.04,0.45,0.39
11001001803,"3,795","1,807",0.23,0.8,0.55
11001001804,"5,428","2,186",0.19,0.61,0.64
11001001901,"4,581","1,801",0.01,0.14,0.57
11001001902,"2,212",874,0.07,0.15,0.52
11001002001,"2,983","1,193",0.24,0.62,0.33
11001002002,"4,106","1,600",0.08,0.16,0.4
11001002101,"5,946","2,585",0.03,0.45,0.6
11001002102,"5,043","2,612",0.09,0.4,0.51
11001002201,"3,238","1,066",0.02,0.07,0.29
11001002202,"3,228","1,450",0.14,0.39,0.54
11001002301,"3,170","1,315",0.11,0.22,0.5
11001002302,"1,538","1,101",0.09,0.57,0.54
11001002400,"3,735","1,632",0.05,0.27,0.31
11001002501,"2,860","1,085",0.04,0.39,0.37
11001002503,"2,909","1,878",0.05,0.65,0.46
11001002504,"3,132","1,496",0.18,0.37,0.23
11001002600,"2,578",936,0.05,0.26,0.48
11001002702,"5,578","2,519",0.05,0.48,0.1
11001002703,"2,312","1,222",0.03,0.5,0.18
11001002704,"2,971","1,959",0.09,0.7,0.11
11001002801,"3,877","1,916",0.14,0.72,0.23
11001002802,"4,951","2,769",0.34,0.77,0.17
11001002900,"4,608","1,906",0.19,0.4,0.29
11001003000,"3,535","1,810",0.26,0.64,0.41
11001003100,"3,529","2,003",0.03,0.45,0.19
11001003200,"4,132","2,069",0.2,0.27,0.33
11001003301,"3,525","1,898",0.07,0.24,0.33
11001003302,"2,236","1,052",0.08,0.43,0.41
11001003400,"4,044","1,409",0.2,0.52,0.44
11001003500,"4,498","2,255",0.1,0.63,0.48
11001003600,"4,500","2,442",0.09,0.65,0.29
11001003701,"2,195","1,381",0.04,0.65,0.1
11001003702,"2,815","1,671",0.18,0.73,0.39
11001003801,"1,514","1,062",0.03,0.54,0.04
11001003802,"3,607","2,204",0.09,0.67,0.13
11001003901,"2,729","1,965",0.04,0.78,0.25
11001003902,"1,774","1,305",0.05,0.37,0.05
11001004001,"3,971","2,499",0.06,0.52,0.14
11001004002,"3,291","2,357",0.04,0.59,0.05
11001004100,"2,363","1,616",0.06,0.46,0.12
11001004201,"3,224","2,355",0.07,0.56,0.05
11001004202,"2,613","1,646",0.15,0.76,0.03
11001004300,"4,387","2,878",0.04,0.62,0.1
11001004401,"3,388","1,996",0.04,0.46,0.23
11001004402,"2,503","1,403",0.05,0.5,0.14
11001004600,"3,058","1,659",0.08,0.52,0.41
11001004702,"3,476","2,515",0.06,0.8,0.16
11001004703,"3,400","2,365",0.28,0.65,0.41
11001004704,"1,580",794,0.76,0.85,0.92
11001004801,"2,751","1,586",0.11,0.59,0.23
11001004802,"2,974","1,839",0.05,0.67,0.37
11001004901,"3,381","2,056",0.13,0.72,0.26
11001004902,"3,367","2,283",0.06,0.64,0.21
11001005001,"2,064","1,222",0.02,0.34,0.07
